name,type,address,phone,rating,hospital_id
SOUTHEAST ALABAMA MEDICAL CENTER,Acute Care Hospitals,1108 ROSS CLARK CIRCLE,3347938701,3,HOSP_1
MARSHALL MEDICAL CENTER SOUTH,Acute Care Hospitals,2505 U S HIGHWAY 431 NORTH,2565938310,3,HOSP_2
ELIZA COFFEE MEMORIAL HOSPITAL,Acute Care Hospitals,205 MARENGO STREET,2567688400,2,HOSP_3
MIZELL MEMORIAL HOSPITAL,Acute Care Hospitals,702 N MAIN ST,3344933541,2,HOSP_4
CRENSHAW COMMUNITY HOSPITAL,Acute Care Hospitals,101 HOSPITAL CIRCLE,3343353374,3,HOSP_5
ST VINCENT'S EAST,Acute Care Hospitals,50 MEDICAL PARK EAST DRIVE,2058383122,2,HOSP_6
DEKALB REGIONAL MEDICAL CENTER,Acute Care Hospitals,200 MED CENTER DRIVE,2568453150,3,HOSP_7
SHELBY BAPTIST MEDICAL CENTER,Acute Care Hospitals,1000 FIRST STREET NORTH,2056208100,3,HOSP_8
CALLAHAN EYE HOSPITAL,Acute Care Hospitals,1720 UNIVERSITY BLVD,2053258100,Not Available,HOSP_9
HELEN KELLER MEMORIAL HOSPITAL,Acute Care Hospitals,1300 SOUTH MONTGOMERY AVENUE,2563864556,2,HOSP_10
DALE MEDICAL CENTER,Acute Care Hospitals,126 HOSPITAL AVE,3347742601,4,HOSP_11
CHEROKEE MEDICAL CENTER,Acute Care Hospitals,400 NORTHWOOD DR,2569275531,4,HOSP_12
BAPTIST MEDICAL CENTER SOUTH,Acute Care Hospitals,2105 EAST SOUTH BOULEVARD,3342882100,3,HOSP_13
JACKSON HOSPITAL & CLINIC INC,Acute Care Hospitals,1725 PINE STREET,3342938000,3,HOSP_14
EAST ALABAMA MEDICAL CENTER,Acute Care Hospitals,2000 PEPPERELL PARKWAY,3347493411,4,HOSP_15
WEDOWEE HOSPITAL,Acute Care Hospitals,209 NORTH MAIN STREET,2563572111,4,HOSP_16
UNIVERSITY OF ALABAMA HOSPITAL,Acute Care Hospitals,619 SOUTH 19TH STREET,2059344011,3,HOSP_17
COMMUNITY HOSPITAL INC,Acute Care Hospitals,805 FRIENDSHIP ROAD,3342836541,4,HOSP_18
CULLMAN REGIONAL MEDICAL CENTER,Acute Care Hospitals,1912 ALABAMA HIGHWAY 157,2567372000,3,HOSP_19
ANDALUSIA REGIONAL HOSPITAL,Acute Care Hospitals,849 SOUTH THREE NOTCH STREET,3342228466,3,HOSP_20
STRINGFELLOW MEMORIAL HOSPITAL,Acute Care Hospitals,301 EAST 18TH ST,2562358900,3,HOSP_21
HUNTSVILLE HOSPITAL,Acute Care Hospitals,101 SIVLEY RD,2562651000,3,HOSP_22
GADSDEN REGIONAL MEDICAL CENTER,Acute Care Hospitals,1007 GOODYEAR AVENUE,2564944000,2,HOSP_23
MARION REGIONAL MEDICAL CENTER,Acute Care Hospitals,1256 MILITARY STREET SOUTH,2059216200,5,HOSP_24
FAYETTE MEDICAL CENTER,Acute Care Hospitals,1653 TEMPLE AVENUE NORTH,2059325966,4,HOSP_25
RIVERVIEW REGIONAL MEDICAL CENTER,Acute Care Hospitals,600 SOUTH THIRD STREET,2565435200,3,HOSP_26
GEORGIANA MEDICAL CENTER,Acute Care Hospitals,515 N MIRANDA AVENUE,3343762205,3,HOSP_27
MEDICAL CENTER ENTERPRISE,Acute Care Hospitals,400 N EDWARDS STREET,3343470584,3,HOSP_28
GREENE COUNTY HOSPITAL,Acute Care Hospitals,509 WILSON AVENUE,2053723388,3,HOSP_29
LAKE MARTIN COMMUNITY HOSPITAL,Acute Care Hospitals,201 MARIARDEN ROAD,2568257821,3,HOSP_30
FLOWERS HOSPITAL,Acute Care Hospitals,4370 WEST MAIN STREET,3347935000,4,HOSP_31
ST VINCENT'S BIRMINGHAM,Acute Care Hospitals,810 ST VINCENT'S DRIVE,2059397000,3,HOSP_32
BIBB MEDICAL CENTER,Acute Care Hospitals,208 PIERSON AVE,2059264881,Not Available,HOSP_33
LAWRENCE MEDICAL CENTER,Acute Care Hospitals,202 HOSPITAL STREET,2569742200,4,HOSP_34
HIGHLANDS MEDICAL CENTER,Acute Care Hospitals,380 WOODS COVE ROAD,2562594444,3,HOSP_35
WIREGRASS MEDICAL CENTER,Acute Care Hospitals,1200 W MAPLE AVENUE,3346843655,3,HOSP_36
RUSSELL HOSPITAL,Acute Care Hospitals,3316 HIGHWAY 280,2563297100,3,HOSP_37
MEDICAL CENTER BARBOUR,Acute Care Hospitals,820 W WASHINGTON ST,3346887271,3,HOSP_38
CLAY COUNTY HOSPITAL,Acute Care Hospitals,83825 HIGHWAY 9    P O BOX 1270,2563542131,3,HOSP_39
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,Acute Care Hospitals,400 EAST 10TH STREET,2562355121,2,HOSP_40
ATHENS LIMESTONE HOSPITAL,Acute Care Hospitals,700 WEST MARKET STREET,2562339292,2,HOSP_41
SOUTH BALDWIN REGIONAL MEDICAL CENTER,Acute Care Hospitals,1613 NORTH MCKENZIE STREET,2519493400,3,HOSP_42
DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,Acute Care Hospitals,1201 7TH STREET SE,2563412000,2,HOSP_43
NORTHWEST MEDICAL CENTER,Acute Care Hospitals,1530 U S HIGHWAY 43,2054877736,4,HOSP_44
UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,Acute Care Hospitals,2451 FILLINGIM STREET,2514717110,3,HOSP_45
WALKER BAPTIST MEDICAL CENTER,Acute Care Hospitals,3400 HIGHWAY 78 EAST,2053874000,3,HOSP_46
PROVIDENCE HOSPITAL,Acute Care Hospitals,6801 AIRPORT BOULEVARD,2516331000,2,HOSP_47
GROVE HILL MEMORIAL HOSPITAL,Acute Care Hospitals,295 JACKSON HWY S,2512753191,3,HOSP_48
D C H REGIONAL MEDICAL CENTER,Acute Care Hospitals,809 UNIVERSITY BOULEVARD EAST,2057597111,2,HOSP_49
HALE COUNTY HOSPITAL,Acute Care Hospitals,508 GREEN STREET,3346243024,Not Available,HOSP_50
ELMORE COMMUNITY HOSPITAL,Acute Care Hospitals,500 HOSPITAL DRIVE,3345674311,3,HOSP_51
D W MCMILLAN MEMORIAL HOSPITAL,Acute Care Hospitals,1301 BELLEVILLE AVENUE,2518678061,2,HOSP_52
THOMAS HOSPITAL,Acute Care Hospitals,750 MORPHY AVENUE,2519282375,4,HOSP_53
CITIZENS BAPTIST MEDICAL CENTER,Acute Care Hospitals,604 STONE AVENUE,2567614542,3,HOSP_54
J PAUL JONES HOSPITAL,Acute Care Hospitals,317 MCWILLIAMS AVENUE,3346824131,Not Available,HOSP_55
PRINCETON BAPTIST MEDICAL CENTER,Acute Care Hospitals,701 PRINCETON AVENUE SOUTHWEST,2057833800,3,HOSP_56
GRANDVIEW MEDICAL CENTER,Acute Care Hospitals,3690 GRANDVIEW PARKWAY,2055921000,2,HOSP_57
PRATTVILLE BAPTIST HOSPITAL,Acute Care Hospitals,124 S MEMORIAL DR,3343614267,4,HOSP_58
PICKENS COUNTY MEDICAL CENTER,Acute Care Hospitals,241 ROBERT K WILSON DRIVE,2053678111,3,HOSP_59
BULLOCK COUNTY HOSPITAL,Acute Care Hospitals,102 WEST CONECUH AVENUE,3347382140,3,HOSP_60
BRYAN W. WHITFIELD MEMORIAL HOSPITAL,Acute Care Hospitals,105 HIGHWAY 80 EAST,3342894000,3,HOSP_61
MOBILE INFIRMARY MEDICAL CENTER,Acute Care Hospitals,5 MOBILE INFIRMARY CIRCLE,2514354700,2,HOSP_62
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",Acute Care Hospitals,995 9TH AVENUE SOUTHWEST,2054817000,3,HOSP_63
VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,Acute Care Hospitals,1015 MEDICAL CENTER PARKWAY,3344184100,3,HOSP_64
MONROE COUNTY HOSPITAL,Acute Care Hospitals,"2016 SOUTH ALABAMA AVENUE, BOX 886",2515753111,3,HOSP_65
